lower_n,upper_n,excitation_energy,alpha,beta
54,64,0.0310,4.190398e-02,1.0
55,57,0.0090,3.797747e+00,1.0
55,59,0.0160,5.204182e-01,1.0
55,61,0.0220,1.676271e-01,1.0
55,63,0.0270,7.631921e-02,1.0
55,65,0.0310,4.190398e-02,1.0
56,58,0.0070,4.042819e+00,1.0
56,60,0.0130,5.510821e-01,1.0
56,62,0.0180,1.767345e-01,1.0
56,64,0.0220,8.017769e-02,1.0
57,59,0.0070,4.042819e+00,1.0
57,61,0.0130,5.510821e-01,1.0
57,63,0.0180,1.767345e-01,1.0
57,65,0.0220,8.017769e-02,1.0
58,60,0.0060,4.287885e+00,1.0
58,62,0.0110,5.817401e-01,1.0
58,64,0.0150,1.858365e-01,1.0
59,61,0.0060,4.287885e+00,1.0
59,63,0.0110,5.817401e-01,1.0
59,65,0.0150,1.858365e-01,1.0
60,62,0.0050,4.532946e+00,1.0
60,64,0.0090,6.123933e-01,1.0
61,63,0.0050,4.532946e+00,1.0
61,65,0.0090,6.123933e-01,1.0
62,64,0.0040,4.778002e+00,1.0
63,65,0.0040,4.778002e+00,1.0
