lower_n,upper_n,excitation_energy,alpha
33,41,0.1350,1.950000e+03
33,43,0.2010,9.702000e+03
33,47,0.2770,2.729370e+03
34,36,0.0400,1.513000e+04
34,38,0.0760,1.101000e+02
34,40,0.0990,1.179000e+04
34,44,0.2090,7.531000e+01
34,46,0.2410,1.446000e+01
35,37,0.0410,1.487000e+04
35,39,0.0780,1.114000e+02
35,41,0.1000,1.181000e+04
35,45,0.2100,2.390000e+02
35,47,0.2420,1.521000e+01
36,40,0.0590,2.866000e+04
36,44,0.1690,6.016000e+05
37,41,0.0590,2.872000e+04
37,45,0.1690,2.362000e+06
38,40,0.0230,1.812000e+05
38,42,0.0890,2.324000e+04
38,46,0.1650,8.350910e+04
39,41,0.0220,1.771000e+05
39,43,0.0880,3.146300e+05
39,47,0.1640,7.861170e+04
40,44,0.1100,1.258000e+04
40,46,0.1420,4.031000e+02
41,45,0.1100,4.903000e+04
41,47,0.1420,3.742000e+02
43,47,0.0760,2.114000e+05
